Participant,SnippetID,CL
1,1,5
1,10,3
1,11,
1,12,7
1,13,8
1,14,6
1,15,
1,16,4
1,2,3
1,3,2
1,4,7
1,5,3
1,6,9
1,7,2
1,8,3
1,9,1
2,1,6
2,10,3
2,11,7
2,12,5
2,13,4
2,14,6
2,15,7
2,16,3
2,2,6
2,3,7
2,4,8
2,5,3
2,6,8
2,7,4
2,8,1
2,9,3
3,1,3
3,10,3
3,11,7
3,12,6
3,13,5
3,14,3
3,15,3
3,16,3
3,2,5
3,3,4
3,4,5
3,5,7
3,6,7
3,7,3
3,8,6
3,9,2
4,1,5
4,10,3
4,11,7
4,12,5
4,13,4
4,14,5
4,15,7
4,16,5
4,2,5
4,3,5
4,4,6
4,5,5
4,6,6
4,7,4
4,8,5
4,9,4
5,1,5
5,10,4
5,11,
5,12,6
5,13,3
5,14,4
5,15,6
5,16,6
5,2,5
5,3,3
5,4,6
5,5,5
5,6,7
5,7,4
5,8,5
5,9,4
6,1,7
6,10,4
6,11,9
6,12,5
6,13,5
6,14,4
6,15,7
6,16,6
6,2,4
6,3,3
6,4,6
6,5,3
6,6,5
6,7,3
6,8,6
6,9,2
7,1,
7,10,3
7,11,4
7,12,3
7,13,4
7,14,3
7,15,3
7,16,2
7,2,3
7,3,3
7,4,4
7,5,5
7,6,4
7,7,2
7,8,4
7,9,3
8,1,5
8,10,4
8,11,6
8,12,7
8,13,4
8,14,5
8,15,8
8,16,5
8,2,5
8,3,4
8,4,7
8,5,5
8,6,7
8,7,6
8,8,5
8,9,4
9,1,8
9,10,1
9,11,9
9,12,5
9,13,4
9,14,4
9,15,4
9,16,2
9,2,4
9,3,4
9,4,3
9,5,5
9,6,4
9,7,2
9,8,4
9,9,2
10,1,5
10,10,3
10,11,6
10,12,5
10,13,3
10,14,3
10,15,4
10,16,6
10,2,3
10,3,2
10,4,5
10,5,4
10,6,7
10,7,4
10,8,4
10,9,3
11,1,2
11,10,1
11,11,6
11,12,2
11,13,3
11,14,2
11,15,3
11,16,2
11,2,2
11,3,2
11,4,2
11,5,5
11,6,2
11,7,3
11,8,3
11,9,2
14,1,3
14,10,3
14,11,8
14,12,5
14,13,5
14,14,5
14,15,6
14,16,4
14,2,4
14,3,3
14,4,4
14,5,5
14,6,5
14,7,3
14,8,6
14,9,3
15,1,4
15,10,2
15,11,6
15,12,2
15,13,3
15,14,2
15,15,4
15,16,2
15,2,2
15,3,3
15,4,5
15,5,4
15,6,6
15,7,2
15,8,5
15,9,2
16,1,3
16,10,2
16,11,7
16,12,5
16,13,3
16,14,4
16,15,3
16,16,2
16,2,4
16,3,3
16,4,4
16,5,8
16,6,4
16,7,3
16,8,5
16,9,2
17,1,5
17,10,2
17,11,7
17,12,4
17,13,5
17,14,4
17,15,4
17,16,3
17,2,2
17,3,5
17,4,5
17,5,7
17,6,6
17,7,4
17,8,6
17,9,1
18,1,8
18,10,8
18,11,5
18,12,8
18,13,8
18,14,6
18,15,7
18,16,6
18,2,8
18,3,7
18,4,5
18,5,7
18,6,7
18,7,7
18,8,7
18,9,7
19,1,1
19,10,2
19,11,5
19,12,2
19,13,3
19,14,2
19,15,2
19,16,3
19,2,3
19,3,2
19,4,3
19,5,3
19,6,3
19,7,3
19,8,3
19,9,3
20,1,7
20,10,3
20,11,7
20,12,5
20,13,5
20,14,5
20,15,5
20,16,4
20,2,4
20,3,6
20,4,5
20,5,6
20,6,3
20,7,7
20,8,3
20,9,2
21,1,7
21,10,1
21,11,9
21,12,3
21,13,3
21,14,7
21,15,3
21,16,4
21,2,1
21,3,1
21,4,3
21,5,5
21,6,6
21,7,3
21,8,8
21,9,4
22,1,2
22,10,2
22,11,8
22,12,4
22,13,3
22,14,3
22,15,8
22,16,3
22,2,2
22,3,2
22,4,2
22,5,1
22,6,8
22,7,3
22,8,5
22,9,2
