Participant,Channel,ChanIdx,AvgCorr,ZCorr,RansacCorr
P1,Fp2,1,0.396648237992785,0.473478267465198,0.90991408204266
P1,Fp1,2,0.404204135500475,0.627321020221826,0.919461942528826
P1,F8,3,0.287548299826049,-1.747864041118,1
P1,F4,4,0.349063905052241,-0.495368221017668,0.882771522463128
P1,Fz,5,0.271026175894806,-2.08426471679973,1
P1,F3,6,0.372396949017251,-0.0202929953260092,0.918152742731019
P1,F7,7,0.422508047280634,1,0.576926609939888
P1,T4,8,0.238909076132833,-2.73818875863763,1
P1,C4,9,0.24122370098617,-2.69106156313585,1
P1,Cz,10,0.42914082641565,1.13504749098559,0.97645442589682
P1,C3,11,0.261944743101528,-2.26916831276174,1
P1,T3,12,0.284723322929697,-1.80538232028555,0.953588617498987
P1,T6,13,0.331163960717607,-0.85982217342082,0.960858205894266
P1,P4,14,0.420276072678127,0.95455561479188,0.903985912737956
P1,Pz,15,0.373393627704156,0,0.512170732376173
P1,P3,16,0.418503723748077,0.91846949292923,0.985923909164349
P1,T5,17,0.403438872236503,0.611739786226368,0.973829412603095
P1,O2,18,0.450680369227084,1.57360592244367,0.989374686521461
P1,O1,19,0.452671237019346,1.61414122367352,0.967727234291977
P2,Fp2,1,0.755246075139926,1.36301462164674,0.951685128164591
P2,Fp1,2,0.760051978795245,1.42540447802979,0.979788570072905
P2,F8,3,0.216831782065883,-5.6266366133058,1
P2,F4,4,0.51011186660862,-1.81929804246808,0.729380777697199
P2,Fz,5,0.650252774430767,0,0.915473347292546
P2,F3,6,0.635018945143398,-0.197764351840623,0.981950963368616
P2,F7,7,0.724975361098576,0.970042636126076,0.540662459540573
P2,T4,8,0.620581796255875,-0.385186262530855,0.967309230977735
P2,C4,9,0.594266805229101,-0.72680536866176,0.971062353727751
P2,Cz,10,0.749197143848468,1.28448788003651,0.978329411036483
P2,C3,11,0.58001787228656,-0.911783875027097,1
P2,T3,12,0.57322256577291,-1,0.970524076132414
P2,T6,13,0.709983050524973,0.775413660886054,0.997572110000894
