Participant,SnippetID,CL
1,1,5
1,2,3
1,3,2
1,4,7
1,5,3
1,6,2
1,7,3
1,8,1
1,9,3
1,10,
1,11,7
1,12,6
1,13,4
2,1,6
2,2,6
2,3,7
2,4,8
2,5,3
2,6,4
2,7,1
2,8,3
2,9,3
2,10,7
2,11,5
2,12,6
2,13,3
3,1,3
3,2,5
3,3,4
3,4,5
3,5,7
3,6,3
3,7,6
3,8,2
3,9,3
3,10,7
3,11,6
3,12,3
3,13,3
4,1,5
4,2,5
4,3,5
4,4,6
4,5,5
4,6,4
4,7,5
4,8,4
4,9,3
4,10,7
4,11,5
4,12,5
4,13,5
5,1,5
5,2,5
5,3,3
5,4,6
5,5,5
5,6,4
5,7,5
5,8,4
5,9,4
5,10,
5,11,6
5,12,4
5,13,6
6,1,7
6,2,4
6,3,3
6,4,6
6,5,3
6,6,3
6,7,6
6,8,2
6,9,4
6,10,9
6,11,5
6,12,4
6,13,6
7,1,
7,2,3
7,3,3
7,4,4
7,5,5
7,6,2
7,7,4
7,8,3
7,9,3
7,10,4
7,11,3
7,12,3
7,13,2
8,1,5
8,2,5
8,3,4
8,4,7
8,5,5
8,6,6
8,7,5
8,8,4
8,9,4
8,10,6
8,11,7
8,12,5
8,13,5
9,1,8
9,2,4
9,3,4
9,4,3
9,5,5
9,6,2
9,7,4
9,8,2
9,9,1
9,10,9
9,11,5
9,12,4
9,13,2
10,1,5
10,2,3
10,3,2
10,4,5
10,5,4
10,6,4
10,7,4
10,8,3
10,9,3
10,10,6
10,11,5
10,12,3
10,13,6
11,1,2
11,2,2
11,3,2
11,4,2
11,5,5
11,6,3
11,7,3
11,8,2
11,9,1
11,10,6
11,11,2
11,12,2
11,13,2
12,1,8
12,2,6
12,3,8
12,4,3
12,5,4
12,6,2
12,7,7
12,8,2
12,9,1
12,10,9
12,11,3
12,12,2
12,13,2
13,1,5
13,2,5
13,3,6
13,4,5
13,5,4
13,6,3
13,7,3
13,8,1
13,9,2
13,10,6
13,11,4
13,12,3
13,13,3
14,1,3
14,2,4
14,3,3
14,4,4
14,5,5
14,6,3
14,7,6
14,8,3
14,9,3
14,10,8
14,11,5
14,12,5
14,13,4
15,1,4
15,2,2
15,3,3
15,4,5
15,5,4
15,6,2
15,7,5
15,8,2
15,9,2
15,10,6
15,11,2
15,12,2
15,13,2
16,1,3
16,2,4
16,3,3
16,4,4
16,5,8
16,6,3
16,7,5
16,8,2
16,9,2
16,10,7
16,11,5
16,12,4
16,13,2
17,1,5
17,2,2
17,3,5
17,4,5
17,5,7
17,6,4
17,7,6
17,8,1
17,9,2
17,10,7
17,11,4
17,12,4
17,13,3
18,1,8
18,2,8
18,3,7
18,4,5
18,5,7
18,6,7
18,7,7
18,8,7
18,9,8
18,10,5
18,11,8
18,12,6
18,13,6
19,1,1
19,2,3
19,3,2
19,4,3
19,5,3
19,6,3
19,7,3
19,8,3
19,9,2
19,10,5
19,11,2
19,12,2
19,13,3
20,1,7
20,2,3
20,3,4
20,4,6
20,5,5
20,6,3
20,7,7
20,8,3
20,9,2
20,10,7
20,11,5
20,12,5
20,13,4
21,1,7
21,2,1
21,3,1
21,4,3
21,5,5
21,6,3
21,7,8
21,8,4
21,9,1
21,10,9
21,11,3
21,12,7
21,13,4
22,1,2
22,2,2
22,3,2
22,4,2
22,5,1
22,6,3
22,7,5
22,8,2
22,9,2
22,10,8
22,11,4
22,12,3
22,13,3
