subject,ID,manual_cl,DD,Halstead,LOC,Cyclomatic,CCCPPD,CCCPMPI,DDold,Halsteadold,LOCold,Cyclomaticold,CCCPPDold,CCCPMPIold,eeg_cl_fzpz34,eeg_cl_fz34pz34,eeg_cl_fzpz
1,1,5.0,10,12,6,2,7,6,10,12,6,2,4,7,1.467699749430631,1.039010464692529,1.5507768799201245
1,2,3.0,10,10,6,2,6,5,10,10,6,2,4,9,1.5549090601789257,1.1968492804196558,1.9520889688063823
1,3,2.0,7,13,6,2,6,5,7,12,6,2,4,10,1.651434262760602,1.3088462801894019,1.8719100713012007
1,4,7.0,15,17,8,2,8,7,15,17,8,2,4,9,1.6506078912017967,1.2875405785112568,2.1572507668696934
1,5,3.0,15,18,9,3,10,5,15,18,9,3,5,10,1.8482984077064393,1.2427781079393523,2.090141745117342
1,6,2.0,4,21,5,4,5,11,4,20,11,5,4,13,1.3840134094737915,1.2183242346172376,1.5153750353348152
1,7,3.0,6,23,7,2,13,10,6,21,7,2,4,10,1.6996763236812258,1.3261978912883063,1.973991708114888
1,8,1.0,4,7,6,1,2,3,5,7,6,1,3,6,1.1898528148283833,0.9530091300105701,1.4853270185196796
1,9,3.0,12,12,9,7,14,8,12,12,9,7,4,7,1.37138613560967,1.1302499850626617,1.826821512517305
1,10,,15,23,9,3,10,8,15,23,9,3,4,11,1.3794356523659828,1.0348973818481841,2.089700094137193
1,11,7.0,10,27,11,2,5,6,10,27,11,2,4,12,1.7240790473113274,1.2983762655134896,1.7553194641783345
1,12,6.0,5,17,7,3,8,6,5,16,7,3,4,8,1.8912413599831839,1.493485881120339,2.3106954334810443
1,13,4.0,8,16,6,3,7,5,8,15,6,3,4,7,1.339794249686664,1.2354396156711804,1.4034066273169234
2,1,6.0,10,12,6,2,7,6,10,12,6,2,4,7,8.45204937441567,4.021107682875452,10.88515141788936
2,2,6.0,10,10,6,2,6,5,10,10,6,2,4,9,5.855806903762847,2.8982662685592846,7.91393720868048
2,3,7.0,7,13,6,2,6,5,7,12,6,2,4,10,9.066761450684474,4.1722342285146015,14.430973410304873
2,4,8.0,15,17,8,2,8,7,15,17,8,2,4,9,8.685516489476383,4.092619961994222,10.027467776641945
2,5,3.0,15,18,9,3,10,5,15,18,9,3,5,10,6.39964941023961,3.2047911155254014,10.91448549078711
2,6,4.0,4,21,5,4,5,11,4,20,11,5,4,13,8.059540470987042,3.5249282877100683,9.255051133075401
2,7,1.0,6,23,7,2,13,10,6,21,7,2,4,10,9.51843255756244,4.998246442387172,12.109948456326347
2,8,3.0,4,7,6,1,2,3,5,7,6,1,3,6,10.346800787268611,4.755146418226389,14.525090524529633
2,9,3.0,12,12,9,7,14,8,12,12,9,7,4,7,3.084070002755204,1.5368204486146269,4.684674464578876
2,10,7.0,15,23,9,3,10,8,15,23,9,3,4,11,9.093041743199883,3.9725304450181653,15.075287228488623
2,11,5.0,10,27,11,2,5,6,10,27,11,2,4,12,7.980200445526947,3.835856813547425,11.56872448818768
2,12,6.0,5,17,7,3,8,6,5,16,7,3,4,8,8.029815112355259,3.918606136048582,11.382377236133001
2,13,3.0,8,16,6,3,7,5,8,15,6,3,4,7,5.9376824323440145,3.0852600980374576,7.417733366786308
3,1,3.0,10,12,6,2,7,6,10,12,6,2,4,7,0.6947907359541142,0.6959184084628951,1.268442968455588
3,2,5.0,10,10,6,2,6,5,10,10,6,2,4,9,0.7021021105229183,0.7372520024121187,1.2364475126303736
3,3,4.0,7,13,6,2,6,5,7,12,6,2,4,10,0.841296546422985,0.8791656743955062,1.2726497725488726
3,4,5.0,15,17,8,2,8,7,15,17,8,2,4,9,0.6405085861084093,0.5876095835523574,0.7915688173990598
3,5,7.0,15,18,9,3,10,5,15,18,9,3,5,10,0.7298501177509077,0.8111625229288283,1.1325762194265498
3,6,3.0,4,21,5,4,5,11,4,20,11,5,4,13,0.5464780301567926,0.6398531717650905,0.8779583547373659
3,7,6.0,6,23,7,2,13,10,6,21,7,2,4,10,0.7340569219971353,0.8574151476330184,0.9850057917097863
3,8,2.0,4,7,6,1,2,3,5,7,6,1,3,6,0.42993289524195893,0.5731154275191975,0.6281969897178792
3,9,3.0,12,12,9,7,14,8,12,12,9,7,4,7,0.5332737983022022,0.5204387507452717,0.8038075407045385
3,10,7.0,15,23,9,3,10,8,15,23,9,3,4,11,0.8041319416872544,0.7623089163411022,1.0723749096683453
3,11,6.0,10,27,11,2,5,6,10,27,11,2,4,12,0.8179552868402221,0.7083152972285481,0.9668619615728825
3,12,3.0,5,17,7,3,8,6,5,16,7,3,4,8,0.8191070092038699,1.0142479034655385,1.0573645654382544
3,13,3.0,8,16,6,3,7,5,8,15,6,3,4,7,0.6122168465215359,0.6456422811902716,1.0502713862674131
4,1,5.0,10,12,6,2,7,6,10,12,6,2,4,7,0.8435727370410918,1.1374216917948436,0.6622934081491876
4,2,5.0,10,10,6,2,6,5,10,10,6,2,4,9,3.532675165136729,2.0295044607163484,4.635565908947349
4,3,5.0,7,13,6,2,6,5,7,12,6,2,4,10,2.687428529435673,1.907576846502916,3.1578839728166037
4,4,6.0,15,17,8,2,8,7,15,17,8,2,4,9,4.713271965925938,3.2312241968265485,4.81628935535251
4,5,5.0,15,18,9,3,10,5,15,18,9,3,5,10,2.6850686964359527,1.8948543836977112,3.195863885204845
4,6,4.0,4,21,5,4,5,11,4,20,11,5,4,13,4.056317458842496,2.9350656909059856,4.512324155210706
4,7,5.0,6,23,7,2,13,10,6,21,7,2,4,10,4.6351568496785704,2.815040671953234,5.2547191713003505
