subject,ID,rating,DD,Halstead,LOC,Cyclomatic,CCCPPD,CCCPMDI,DDold,Halsteadold,LOCold,Cyclomaticold,CCCPPDold,CCCPMPIold
1,1,1.46769974943063,10,12,6,2,7,6,10,12,6,2,4,7
1,2,1.55490906017893,10,10,6,2,6,5,10,10,6,2,4,9
1,3,1.6514342627606,7,13,6,2,6,5,7,12,6,2,4,10
1,4,1.6506078912018,15,17,8,2,8,7,15,17,8,2,4,9
1,5,1.84829840770644,15,18,9,3,10,5,15,18,9,3,5,10
1,6,1.38401340947379,4,21,5,4,5,11,4,20,11,5,4,13
1,7,1.69967632368123,6,23,7,2,13,10,6,21,7,2,4,10
1,8,1.18985281482838,4,7,6,1,2,3,5,7,6,1,3,6
1,9,1.37138613560967,12,12,9,7,14,8,12,12,9,7,4,7
1,10,1.37943565236598,15,23,9,3,10,8,15,23,9,3,4,11
1,11,1.72407904731133,10,27,11,2,5,6,10,27,11,2,4,12
1,12,1.89124135998318,5,17,7,3,8,6,5,16,7,3,4,8
1,13,1.33979424968666,8,16,6,3,7,5,8,15,6,3,4,7
2,1,8.45204937441567,10,12,6,2,7,6,10,12,6,2,4,7
2,2,5.85580690376274,10,10,6,2,6,5,10,10,6,2,4,9
2,3,9.06676145068436,7,13,6,2,6,5,7,12,6,2,4,10
2,4,8.68551648947626,15,17,8,2,8,7,15,17,8,2,4,9
2,5,6.3996494102396,15,18,9,3,10,5,15,18,9,3,5,10
2,6,8.05954047098697,4,21,5,4,5,11,4,20,11,5,4,13
2,7,9.51843255756228,6,23,7,2,13,10,6,21,7,2,4,10
2,8,10.3468007872686,4,7,6,1,2,3,5,7,6,1,3,6
2,9,3.08407000275517,12,12,9,7,14,8,12,12,9,7,4,7
2,10,9.09304174319978,15,23,9,3,10,8,15,23,9,3,4,11
2,11,7.98020044552686,10,27,11,2,5,6,10,27,11,2,4,12
2,12,8.02981511235507,5,17,7,3,8,6,5,16,7,3,4,8
2,13,5.93768243234392,8,16,6,3,7,5,8,15,6,3,4,7
3,1,0.694790735954114,10,12,6,2,7,6,10,12,6,2,4,7
3,2,0.702102110522918,10,10,6,2,6,5,10,10,6,2,4,9
3,3,0.841296546422985,7,13,6,2,6,5,7,12,6,2,4,10
3,4,0.640508586108409,15,17,8,2,8,7,15,17,8,2,4,9
3,5,0.729850117750908,15,18,9,3,10,5,15,18,9,3,5,10
3,6,0.546478030156797,4,21,5,4,5,11,4,20,11,5,4,13
3,7,0.734056921997135,6,23,7,2,13,10,6,21,7,2,4,10
3,8,0.429932895241959,4,7,6,1,2,3,5,7,6,1,3,6
3,9,0.533273798302202,12,12,9,7,14,8,12,12,9,7,4,7
3,10,0.804131941687254,15,23,9,3,10,8,15,23,9,3,4,11
3,11,0.817955286840222,10,27,11,2,5,6,10,27,11,2,4,12
3,12,0.81910700920387,5,17,7,3,8,6,5,16,7,3,4,8
3,13,0.612216846521536,8,16,6,3,7,5,8,15,6,3,4,7
4,1,0.843572737041092,10,12,6,2,7,6,10,12,6,2,4,7
4,2,3.53267516513671,10,10,6,2,6,5,10,10,6,2,4,9
4,3,2.68742852943567,7,13,6,2,6,5,7,12,6,2,4,10
4,4,4.71327196592591,15,17,8,2,8,7,15,17,8,2,4,9
4,5,2.68506869643594,15,18,9,3,10,5,15,18,9,3,5,10
4,6,4.05631745884249,4,21,5,4,5,11,4,20,11,5,4,13
4,7,4.63515684967856,6,23,7,2,13,10,6,21,7,2,4,10
