subject,ID,rating,DD,Halstead,LOC,Cyclomatic,CCCPPD,CCCPMDI,DDold,Halsteadold,LOCold,Cyclomaticold,CCCPPDold,CCCPMPIold
1,1,5,10,10,6,2,6,5,10,10,6,2,4,7
1,2,3,10,12,6,2,7,6,10,12,6,2,4,9
1,3,2,7,13,6,2,6,5,7,12,6,2,4,10
1,4,7,15,17,8,2,8,7,15,17,8,2,4,9
1,5,3,15,18,9,3,10,5,15,18,9,3,5,10
1,6,2,4,21,5,4,5,11,4,20,11,5,4,13
1,7,3,6,23,7,2,13,10,6,21,7,2,4,10
1,8,1,4,7,6,1,2,3,5,7,6,1,3,6
1,9,3,12,12,9,7,14,8,12,12,9,7,4,7
1,10,,15,23,9,3,10,8,15,23,9,3,4,11
1,11,7,10,27,11,2,5,6,10,27,11,2,4,12
1,12,6,5,17,7,3,8,6,5,16,7,3,4,8
1,13,4,8,16,6,3,7,5,8,15,6,3,4,7
2,1,6,10,10,6,2,6,5,10,10,6,2,4,7
2,2,6,10,12,6,2,7,6,10,12,6,2,4,9
2,3,7,7,13,6,2,6,5,7,12,6,2,4,10
2,4,8,15,17,8,2,8,7,15,17,8,2,4,9
2,5,3,15,18,9,3,10,5,15,18,9,3,5,10
2,6,4,4,21,5,4,5,11,4,20,11,5,4,13
2,7,1,6,23,7,2,13,10,6,21,7,2,4,10
2,8,3,4,7,6,1,2,3,5,7,6,1,3,6
2,9,3,12,12,9,7,14,8,12,12,9,7,4,7
2,10,7,15,23,9,3,10,8,15,23,9,3,4,11
2,11,5,10,27,11,2,5,6,10,27,11,2,4,12
2,12,6,5,17,7,3,8,6,5,16,7,3,4,8
2,13,3,8,16,6,3,7,5,8,15,6,3,4,7
3,1,3,10,10,6,2,6,5,10,10,6,2,4,7
3,2,5,10,12,6,2,7,6,10,12,6,2,4,9
3,3,4,7,13,6,2,6,5,7,12,6,2,4,10
3,4,5,15,17,8,2,8,7,15,17,8,2,4,9
3,5,7,15,18,9,3,10,5,15,18,9,3,5,10
3,6,3,4,21,5,4,5,11,4,20,11,5,4,13
3,7,6,6,23,7,2,13,10,6,21,7,2,4,10
3,8,2,4,7,6,1,2,3,5,7,6,1,3,6
3,9,3,12,12,9,7,14,8,12,12,9,7,4,7
3,10,7,15,23,9,3,10,8,15,23,9,3,4,11
3,11,6,10,27,11,2,5,6,10,27,11,2,4,12
3,12,3,5,17,7,3,8,6,5,16,7,3,4,8
3,13,3,8,16,6,3,7,5,8,15,6,3,4,7
4,1,5,10,10,6,2,6,5,10,10,6,2,4,7
4,2,5,10,12,6,2,7,6,10,12,6,2,4,9
